id,organization_id,url,type,species,age,gender,size,coat,tags,name,description,organization_animal_id,photos,videos,status,status_changed_at,published_at,distance,breeds.primary,breeds.secondary,breeds.mixed,breeds.unknown,colors.primary,colors.secondary,colors.tertiary,attributes.spayed_neutered,attributes.house_trained,attributes.declawed,attributes.special_needs,attributes.shots_current,environment.children,environment.dogs,environment.cats,primary_photo_cropped.small,primary_photo_cropped.medium,primary_photo_cropped.large,primary_photo_cropped.full,contact.email,contact.phone,contact.address.address1,contact.address.address2,contact.address.city,contact.address.state,contact.address.postcode,contact.address.country,X_links.self.href,X_links.type.href,X_links.organization.href
62679064,CA448,https://www.petfinder.com/dog/hope-62679064/ca/oceanside/san-diego-humane-society-oceanside-campus-for-dogs-ca448/?referrer_id=10a2eec8-bd91-4a5a-bbcf-66d8cdaded3d,Dog,Dog,Young,Female,Medium,NA,character(0),Hope,"How this pet arrived: Hope was brought in by their previous owner on April 13, 2023. Why this pet is...",857222,list(),list(),adoptable,2023-04-15T01:38:56Z,2023-04-15T01:38:55Z,77.5367,Pit Bull Terrier,NA,TRUE,FALSE,NA,NA,NA,TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,(619) 299-7012,2905 San Luis Rey Road,NA,Oceanside,CA,92054,US,/v2/animals/62679064,/v2/types/dog,/v2/organizations/ca448
62679056,CA1763,https://www.petfinder.com/cat/victoria-62679056/ca/seal-beach/catpaws-ca1763/?referrer_id=10a2eec8-bd91-4a5a-bbcf-66d8cdaded3d,Cat,Cat,Young,Female,Medium,NA,character(0),Victoria,"I had a litter of five kittens at a very young age, took great care of them, and now would...",19082398-A694176,"list(small = c(""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679056/1/?bust=1681523269&width=100"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679056/2/?bust=1681523268&width=100""), medium = c(""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679056/1/?bust=1681523269&width=300"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679056/2/?bust=1681523268&width=300""), large = c(""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679056/1/?bust=1681523269&width=600"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679056/2/?bust=1681523268&width=600""
), full = c(""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679056/1/?bust=1681523269"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679056/2/?bust=1681523268""))",list(),adoptable,2023-04-15T01:37:48Z,2023-04-15T01:37:46Z,22.5993,Domestic Short Hair,NA,FALSE,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679056/1/?bust=1681523269&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679056/1/?bust=1681523269&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679056/1/?bust=1681523269&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679056/1/?bust=1681523269,adoptions@helensanderscatpaws.com,NA,NA,NA,Seal Beach,CA,90740,US,/v2/animals/62679056,/v2/types/cat,/v2/organizations/ca1763
62679054,CA190,https://www.petfinder.com/cat/working-cat-penelope-62679054/ca/escondido/san-diego-humane-society-escondido-campus-ca190/?referrer_id=10a2eec8-bd91-4a5a-bbcf-66d8cdaded3d,Cat,Cat,Baby,Female,Medium,NA,character(0),Working Cat - Penelope,WORKING CATThis cat is part of the SDHS outdoor cat adoptions program of primarily unsocialized cats. Not every cat thrives...,853326,"list(small = c(""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/1/?bust=1681523261&width=100"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/2/?bust=1681523260&width=100"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/3/?bust=1681523260&width=100"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/4/?bust=1681523262&width=100""), medium = c(""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/1/?bust=1681523261&width=300"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/2/?bust=1681523260&width=300"", 
""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/3/?bust=1681523260&width=300"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/4/?bust=1681523262&width=300""), large = c(""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/1/?bust=1681523261&width=600"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/2/?bust=1681523260&width=600"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/3/?bust=1681523260&width=600"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/4/?bust=1681523262&width=600""
), full = c(""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/1/?bust=1681523261"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/2/?bust=1681523260"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/3/?bust=1681523260"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/4/?bust=1681523262""))",list(),adoptable,2023-04-15T01:37:39Z,2023-04-15T01:37:37Z,93.0699,Domestic Short Hair,NA,TRUE,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/1/?bust=1681523261&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/1/?bust=1681523261&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/1/?bust=1681523261&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679054/1/?bust=1681523261,NA,(619) 299-7012,3500 Burnet Dr,NA,Escondido,CA,92027,US,/v2/animals/62679054,/v2/types/cat,/v2/organizations/ca190
62679044,CA2713,https://www.petfinder.com/cat/dakota-62679044/ca/rowland-heights/vida-rescue-ca2713/?referrer_id=10a2eec8-bd91-4a5a-bbcf-66d8cdaded3d,Cat,Cat,Baby,Female,Medium,Short,"c(""Friendly"", ""Affectionate"", ""Gentle"", ""Playful"")",DAKOTA,"DAKOTA is a sweet and gentle female Bombay kitten, 10 months in age. She is loving and caring. Slightly timid...",NA,"list(small = c(""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/1/?bust=1681522530&width=100"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/2/?bust=1681522531&width=100"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/3/?bust=1681522531&width=100""), medium = c(""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/1/?bust=1681522530&width=300"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/2/?bust=1681522531&width=300"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/3/?bust=1681522531&width=300""
), large = c(""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/1/?bust=1681522530&width=600"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/2/?bust=1681522531&width=600"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/3/?bust=1681522531&width=600""), full = c(""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/1/?bust=1681522530"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/2/?bust=1681522531"", ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/3/?bust=1681522531""
))",list(),adoptable,2023-04-15T01:35:33Z,2023-04-15T01:35:32Z,20.9133,Bombay,Domestic Short Hair,TRUE,FALSE,Black,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,TRUE,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/1/?bust=1681522530&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/1/?bust=1681522530&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/1/?bust=1681522530&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679044/1/?bust=1681522530,cats@vida4animals.org,NA,NA,NA,Rowland Heights,CA,91748,US,/v2/animals/62679044,/v2/types/cat,/v2/organizations/ca2713
62679023,CA2713,https://www.petfinder.com/dog/susie-62679023/ca/rowland-heights/vida-rescue-ca2713/?referrer_id=10a2eec8-bd91-4a5a-bbcf-66d8cdaded3d,Dog,Dog,Baby,Female,Small,Medium,"c(""Friendly"", ""Affectionate"", ""Playful"", ""Loves kisses"")",SUSIE,This adorable girl is Susie.  She is a 10 month old Spaniel mix who weighs about 10 lbs.  Susie loves...,NA,"list(small = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679023/1/?bust=1681522113&width=100"", medium = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679023/1/?bust=1681522113&width=300"", large = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679023/1/?bust=1681522113&width=600"", full = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679023/1/?bust=1681522113"")",list(),adoptable,2023-04-15T01:28:35Z,2023-04-15T01:28:34Z,20.9133,Spaniel,NA,TRUE,FALSE,Golden,Red / Chestnut / Orange,Apricot / Beige,TRUE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,NA,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679023/1/?bust=1681522113&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679023/1/?bust=1681522113&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679023/1/?bust=1681522113&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679023/1/?bust=1681522113,adoptions@vida4animals.org,NA,NA,NA,Rowland Heights,CA,91748,US,/v2/animals/62679023,/v2/types/dog,/v2/organizations/ca2713
62679007,CA2713,https://www.petfinder.com/dog/bambi-62679007/ca/rowland-heights/vida-rescue-ca2713/?referrer_id=10a2eec8-bd91-4a5a-bbcf-66d8cdaded3d,Dog,Dog,Adult,Male,Small,Short,"c(""Friendly"", ""Affectionate"", ""Gentle"", ""Quiet"")",BAMBI,This sweet face belongs to Bambi.  He is a 6 year old Chihuahua / Pug mix who weighs 5 lbs....,NA,"list(small = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679007/1/?bust=1681521917&width=100"", medium = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679007/1/?bust=1681521917&width=300"", large = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679007/1/?bust=1681521917&width=600"", full = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679007/1/?bust=1681521917"")",list(),adoptable,2023-04-15T01:25:19Z,2023-04-15T01:25:18Z,20.9133,Chihuahua,Pug,TRUE,FALSE,Apricot / Beige,NA,NA,TRUE,FALSE,NA,FALSE,TRUE,NA,NA,NA,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679007/1/?bust=1681521917&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679007/1/?bust=1681521917&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679007/1/?bust=1681521917&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679007/1/?bust=1681521917,adoptions@vida4animals.org,NA,NA,NA,Rowland Heights,CA,91748,US,/v2/animals/62679007,/v2/types/dog,/v2/organizations/ca2713
62679003,CA216,https://www.petfinder.com/dog/cherish-62679003/ca/riverside/mary-s-roberts-pet-adoption-center-ca216/?referrer_id=10a2eec8-bd91-4a5a-bbcf-66d8cdaded3d,Dog,Dog,Adult,Female,Medium,NA,"c(""A Real Lover"", ""Staff Favorite"")",Cherish,NA,MSR-A-13982,"list(small = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679003/1/?bust=1681522525&width=100"", medium = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679003/1/?bust=1681522525&width=300"", large = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679003/1/?bust=1681522525&width=600"", full = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679003/1/?bust=1681522525"")",list(),adoptable,2023-04-15T01:25:09Z,2023-04-15T01:25:07Z,46.5831,Mixed Breed,NA,FALSE,FALSE,Black,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,NA,NA,NA,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679003/1/?bust=1681522525&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679003/1/?bust=1681522525&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679003/1/?bust=1681522525&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679003/1/?bust=1681522525,adopt1@petsadoption.org,(951) 688-4340,6165 Industrial Avenue,NA,Riverside,CA,92504,US,/v2/animals/62679003,/v2/types/dog,/v2/organizations/ca216
62679004,CA216,https://www.petfinder.com/cat/roo-62679004/ca/riverside/mary-s-roberts-pet-adoption-center-ca216/?referrer_id=10a2eec8-bd91-4a5a-bbcf-66d8cdaded3d,Cat,Cat,Baby,Female,Small,NA,A Real Lover,Roo,NA,MSR-A-14072,"list(small = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679004/1/?bust=1681522526&width=100"", medium = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679004/1/?bust=1681522526&width=300"", large = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679004/1/?bust=1681522526&width=600"", full = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679004/1/?bust=1681522526"")",list(),adoptable,2023-04-15T01:25:09Z,2023-04-15T01:25:07Z,46.5831,Domestic Short Hair,NA,FALSE,FALSE,Brown / Chocolate,White,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679004/1/?bust=1681522526&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679004/1/?bust=1681522526&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679004/1/?bust=1681522526&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679004/1/?bust=1681522526,adopt1@petsadoption.org,(951) 688-4340,6165 Industrial Avenue,NA,Riverside,CA,92504,US,/v2/animals/62679004,/v2/types/cat,/v2/organizations/ca216
62679005,CA216,https://www.petfinder.com/cat/rigsby-62679005/ca/riverside/mary-s-roberts-pet-adoption-center-ca216/?referrer_id=10a2eec8-bd91-4a5a-bbcf-66d8cdaded3d,Cat,Cat,Baby,Male,Small,NA,A Real Lover,Rigsby,NA,MSR-A-14071,"list(small = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679005/1/?bust=1681522511&width=100"", medium = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679005/1/?bust=1681522511&width=300"", large = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679005/1/?bust=1681522511&width=600"", full = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679005/1/?bust=1681522511"")",list(),adoptable,2023-04-15T01:25:09Z,2023-04-15T01:25:07Z,46.5831,Domestic Short Hair,NA,FALSE,FALSE,Brown / Chocolate,White,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679005/1/?bust=1681522511&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679005/1/?bust=1681522511&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679005/1/?bust=1681522511&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679005/1/?bust=1681522511,adopt1@petsadoption.org,(951) 688-4340,6165 Industrial Avenue,NA,Riverside,CA,92504,US,/v2/animals/62679005,/v2/types/cat,/v2/organizations/ca216
62679006,CA216,https://www.petfinder.com/cat/rumi-62679006/ca/riverside/mary-s-roberts-pet-adoption-center-ca216/?referrer_id=10a2eec8-bd91-4a5a-bbcf-66d8cdaded3d,Cat,Cat,Baby,Male,Small,NA,A Real Lover,Rumi,NA,MSR-A-14073,"list(small = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679006/1/?bust=1681522527&width=100"", medium = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679006/1/?bust=1681522527&width=300"", large = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679006/1/?bust=1681522527&width=600"", full = ""https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679006/1/?bust=1681522527"")",list(),adoptable,2023-04-15T01:25:09Z,2023-04-15T01:25:07Z,46.5831,Domestic Long Hair,NA,FALSE,FALSE,Gray / Blue / Silver,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679006/1/?bust=1681522527&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679006/1/?bust=1681522527&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679006/1/?bust=1681522527&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/62679006/1/?bust=1681522527,adopt1@petsadoption.org,(951) 688-4340,6165 Industrial Avenue,NA,Riverside,CA,92504,US,/v2/animals/62679006,/v2/types/cat,/v2/organizations/ca216
